s,m/s
Time,"Ub"
 6.1601204E+001, 9.6680982E-001
 6.1701346E+001, 9.6993197E-001
 6.1801487E+001, 9.7555269E-001
 6.1901628E+001, 9.7868967E-001
 6.2001769E+001, 9.8238315E-001
 6.2100090E+001, 9.8456277E-001
 6.2200231E+001, 9.7466993E-001
 6.2300372E+001, 9.6675982E-001
 6.2400514E+001, 9.6630467E-001
 6.2505332E+001, 9.6754714E-001
 6.2603746E+001, 9.6749531E-001
 6.2702159E+001, 9.6486461E-001
 6.2800573E+001, 9.6252684E-001
 6.2907933E+001, 9.5890499E-001
 6.3006347E+001, 9.5908807E-001
 6.3104761E+001, 9.6192219E-001
 6.3203175E+001, 9.6448879E-001
 6.3301588E+001, 9.6548622E-001
 6.3400002E+001, 9.6607150E-001
 6.3507362E+001, 9.6648652E-001
 6.3607566E+001, 9.6575808E-001
 6.3705979E+001, 9.6647323E-001
 6.3804393E+001, 9.6607419E-001
 6.3902807E+001, 9.6429678E-001
 6.4001220E+001, 9.6266042E-001
 6.4100896E+001, 9.5980420E-001
 6.4206123E+001, 9.5568533E-001
 6.4302581E+001, 9.5629106E-001
 6.4407808E+001, 9.5663905E-001
 6.4504266E+001, 9.6232128E-001
 6.4600725E+001, 9.6676029E-001
 6.4706829E+001, 9.6817949E-001
 6.4803287E+001, 9.6323154E-001
 6.4909391E+001, 9.6049153E-001
 6.5005849E+001, 9.6396036E-001
 6.5102307E+001, 9.6567845E-001
 6.5208411E+001, 9.6951906E-001
 6.5304869E+001, 9.7280727E-001
 6.5401327E+001, 9.7329342E-001
 6.5507431E+001, 9.6994731E-001
 6.5603890E+001, 9.6744128E-001
 6.5700348E+001, 9.6766689E-001
 6.5806452E+001, 9.7000179E-001
 6.5902910E+001, 9.7167185E-001
 6.6009014E+001, 9.6876070E-001
 6.6105472E+001, 9.6841361E-001
 6.6201930E+001, 9.6798549E-001
 6.6308034E+001, 9.6351503E-001
 6.6404492E+001, 9.6362093E-001
 6.6500951E+001, 9.6645605E-001
 6.6607055E+001, 9.6779624E-001
 6.6703513E+001, 9.6596088E-001
 6.6809617E+001, 9.6640678E-001
 6.6906075E+001, 9.6727067E-001
 6.7002533E+001, 9.6696233E-001
 6.7108637E+001, 9.6306779E-001
 6.7205095E+001, 9.6574471E-001
 6.7301553E+001, 9.7015115E-001
 6.7407657E+001, 9.7097552E-001
 6.7504116E+001, 9.7046670E-001
 6.7600574E+001, 9.6603650E-001
 6.7706678E+001, 9.6241238E-001
 6.7803136E+001, 9.6105873E-001
 6.7909240E+001, 9.6069491E-001
 6.8000217E+001, 9.6158695E-001
 6.8102813E+001, 9.6541886E-001
 6.8207118E+001, 9.6891407E-001
 6.8301164E+001, 9.6451933E-001
 6.8404614E+001, 9.6139882E-001
 6.8508065E+001, 9.6108658E-001
 6.8602110E+001, 9.6173807E-001
 6.8705561E+001, 9.6591881E-001
 6.8809011E+001, 9.6973607E-001
 6.8903057E+001, 9.6573192E-001
 6.9006508E+001, 9.6012756E-001
 6.9100553E+001, 9.5579324E-001
 6.9204004E+001, 9.5233691E-001
 6.9307454E+001, 9.5304368E-001
